Date,Flight Name,Stops,Price,Duration,Departure-Time,Arrival-Time
2024-11-13,Qatar Airways,1 stop,"€1,075",23h 55m,07:55,18:50+1
2024-11-13,Singapore Airlines,2 stops,€891,26h 10m,18:30,07:40+2
2024-11-13,"Aer Lingus, XiamenAir",2 stops,€613,34h 05m,13:20,10:25+2
2024-11-13,"Aer Lingus, Malaysia Airlines",2 stops,€789,31h 50m,15:30,10:20+2
2024-11-13,"Aer Lingus, China Eastern",2 stops,€623,35h 05m,15:30,13:35+2
2024-11-13,Emirates,1 stop,"€1,101",23h 10m,20:50,07:00+2
2024-11-13,"Aer Lingus, Singapore Airlines",2 stops,€896,26h 10m,18:30,07:40+2
2024-11-13,"British Airways, China Eastern",2 stops,€707,31h 00m,16:00,10:00+2
2024-11-13,"Aer Lingus, China Eastern",2 stops,€662,32h 45m,14:15,10:00+2
2024-11-14,Qatar Airways,2 stops,"€1,303",27h 00m,07:55,21:55+1
2024-11-14,SWISS,2 stops,€904,25h 35m,18:40,07:15+2
2024-11-14,Turkish Airlines,2 stops,€842,40h 45m,16:50,20:35+2
2024-11-14,Qantas Airways,1 stop,"€1,146",22h 20m,13:10,22:30+1
2024-11-14,"Emirates, Qantas Airways",1 stop,"€1,146",22h 20m,13:10,22:30+1
2024-11-14,Qantas Airways,1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-14,"Emirates, Qantas Airways",1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-14,Air France,2 stops,€995,26h 50m,16:40,06:30+2
2024-11-14,Finnair,2 stops,"€1,081",25h 25m,18:05,06:30+2
2024-11-14,Air France,2 stops,€995,27h 45m,16:40,07:25+2
2024-11-14,KLM,2 stops,"€1,080",26h 05m,17:25,06:30+2
2024-11-14,"Aer Lingus, Qantas Airways",2 stops,"€1,097",25h 10m,10:20,22:30+1
2024-11-14,Multiple Airlines,2 stops,"€1,097",25h 10m,10:20,22:30+1
2024-11-14,Finnair,2 stops,"€1,081",26h 20m,18:05,07:25+2
2024-11-14,KLM,2 stops,"€1,080",27h 00m,17:25,07:25+2
2024-11-14,Lufthansa,2 stops,"€1,088",26h 50m,17:25,07:15+2
2024-11-14,Finnair,2 stops,"€1,081",27h 20m,18:05,08:25+2
2024-11-15,Air France,2 stops,€995,26h 50m,16:40,06:30+2
2024-11-15,"Emirates, Qantas Airways",1 stop,"€1,145",22h 20m,13:10,22:30+1
2024-11-15,Air France,2 stops,€924,26h 50m,16:40,06:30+2
2024-11-15,Qantas Airways,1 stop,"€1,156",22h 20m,13:10,22:30+1
2024-11-15,Qantas Airways,1 stop,"€1,171",23h 10m,20:50,07:00+2
2024-11-15,"Emirates, Qantas Airways",1 stop,"€1,171",23h 10m,20:50,07:00+2
2024-11-15,Air France,2 stops,€924,27h 45m,16:40,07:25+2
2024-11-15,British Airways,2 stops,"€1,115",25h 40m,18:15,06:55+2
2024-11-15,Multiple Airlines,2 stops,"€1,121",25h 10m,10:20,22:30+1
2024-11-15,Multiple Airlines,2 stops,"€1,202",25h 30m,18:30,07:00+2
2024-11-15,KLM,3 stops,"€1,080",26h 45m,17:25,07:10+2
2024-11-15,KLM,3 stops,"€1,079",27h 00m,17:25,07:25+2
2024-11-15,British Airways,2 stops,"€1,156",27h 25m,16:30,06:55+2
2024-11-15,British Airways,2 stops,"€1,126",28h 00m,15:55,06:55+2
2024-11-15,British Airways,2 stops,"€1,156",27h 55m,16:00,06:55+2
