Stops,Price,Duration,Month,Airline,Departure-Time-Category
2,885.0,37.42,11,British Airways,5:00-11:00 PM
2,1009.0,26.08,11,British Airways,5:00-11:00 PM
2,905.0,34.58,11,Air France,5:00-11:00 AM
2,980.0,28.83,11,Other Airlines,5:00-11:00 AM
2,1026.0,27.92,11,British Airways,11:00-5:00 PM
2,1264.0,27.0,11,Other Airlines,5:00-11:00 AM
2,912.0,26.83,11,Other Airlines,5:00-11:00 PM
2,570.0,40.25,11,Other Airlines,5:00-11:00 AM
2,906.0,26.83,11,Air France,11:00-5:00 PM
2,838.0,30.5,11,Turkish Airlines,11:00-5:00 PM
2,1013.0,25.5,11,Other Airlines,5:00-11:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
2,906.0,27.75,11,Air France,11:00-5:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
2,1013.0,25.5,11,Other Airlines,5:00-11:00 AM
2,1013.0,25.5,11,Other Airlines,5:00-11:00 AM
2,1027.0,26.0,11,British Airways,5:00-11:00 PM
2,1081.0,25.42,11,Finnair,5:00-11:00 PM
2,1027.0,27.0,11,British Airways,11:00-5:00 PM
2,1058.0,25.5,11,Etihad Airways,5:00-11:00 AM
2,493.0,34.08,11,Other Airlines,11:00-5:00 PM
2,463.0,34.08,11,Other Airlines,11:00-5:00 PM
1,986.0,23.17,11,Etihad Airways,5:00-11:00 AM
2,778.0,26.92,11,Other Airlines,5:00-11:00 AM
2,473.0,37.42,11,Other Airlines,5:00-11:00 AM
2,828.0,26.83,11,Air France,11:00-5:00 PM
2,890.0,24.25,11,Other Airlines,5:00-11:00 AM
3,522.0,33.08,11,Other Airlines,11:00-5:00 PM
2,591.0,33.67,11,Other Airlines,11:00-5:00 PM
2,612.0,34.0,11,KLM,11:00-5:00 PM
2,896.0,24.25,11,Other Airlines,5:00-11:00 AM
2,675.0,31.5,11,Other Airlines,11:00-5:00 PM
2,828.0,27.75,11,Air France,11:00-5:00 PM
2,859.0,26.17,11,Other Airlines,5:00-11:00 AM
1,1110.0,22.33,11,Emirates,11:00-5:00 PM
2,648.0,32.75,11,Other Airlines,11:00-5:00 PM
1,1160.0,23.92,11,Other Airlines,5:00-11:00 AM
2,778.0,26.92,11,Other Airlines,5:00-11:00 AM
2,482.0,40.08,11,Other Airlines,5:00-11:00 PM
2,649.0,30.5,11,Other Airlines,11:00-5:00 PM
2,649.0,31.5,11,Other Airlines,11:00-5:00 PM
2,890.0,24.25,11,Other Airlines,5:00-11:00 AM
2,828.0,26.83,11,Air France,11:00-5:00 PM
2,896.0,24.25,11,Other Airlines,5:00-11:00 AM
1,1110.0,22.33,11,Emirates,11:00-5:00 PM
2,828.0,27.75,11,Air France,11:00-5:00 PM
2,678.0,31.0,11,British Airways,11:00-5:00 PM
2,859.0,26.17,11,Other Airlines,5:00-11:00 AM
2,788.0,30.83,11,Other Airlines,11:00-5:00 PM
2,828.0,28.75,11,Air France,11:00-5:00 PM
1,1132.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,788.0,31.83,11,Other Airlines,11:00-5:00 PM
2,904.0,25.58,11,SWISS,5:00-11:00 PM
3,1961.0,27.0,11,KLM,5:00-11:00 PM
3,1998.0,26.75,11,KLM,5:00-11:00 PM
2,2791.0,26.83,11,Air France,11:00-5:00 PM
2,2966.0,26.08,11,KLM,5:00-11:00 PM
2,2791.0,27.75,11,Air France,11:00-5:00 PM
2,2966.0,27.0,11,KLM,5:00-11:00 PM
2,2966.0,30.08,11,KLM,11:00-5:00 PM
2,1337.0,27.25,11,Other Airlines,5:00-11:00 AM
2,828.0,26.83,11,Air France,11:00-5:00 PM
3,683.0,100.58,11,SWISS,5:00-11:00 PM
2,828.0,27.75,11,Air France,11:00-5:00 PM
2,907.0,25.58,11,SWISS,5:00-11:00 PM
1,1177.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,838.0,30.42,11,Turkish Airlines,11:00-5:00 PM
2,983.0,24.83,11,SWISS,5:00-11:00 PM
1,1177.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,983.0,25.75,11,SWISS,5:00-11:00 PM
1,1229.0,22.33,11,Emirates,11:00-5:00 PM
1,1229.0,23.17,11,Emirates,5:00-11:00 PM
2,840.0,34.58,11,Air France,5:00-11:00 AM
2,1027.0,26.08,11,British Airways,5:00-11:00 PM
2,904.0,31.33,11,SWISS,11:00-5:00 PM
2,840.0,34.58,11,Air France,5:00-11:00 AM
2,840.0,35.5,11,Air France,5:00-11:00 AM
2,1303.0,27.0,11,Other Airlines,5:00-11:00 AM
2,579.0,33.5,11,Other Airlines,11:00-5:00 PM
3,558.0,44.25,11,Other Airlines,11:00-5:00 PM
2,828.0,26.83,11,Air France,11:00-5:00 PM
2,650.0,30.25,11,Turkish Airlines,11:00-5:00 PM
2,828.0,27.75,11,Air France,11:00-5:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,626.0,33.67,11,Other Airlines,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
2,843.0,30.5,11,Turkish Airlines,11:00-5:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
2,848.0,34.58,11,Air France,5:00-11:00 AM
2,843.0,32.67,11,Turkish Airlines,11:00-5:00 PM
2,1040.0,25.42,11,British Airways,5:00-11:00 PM
2,1023.0,27.17,11,KLM,5:00-11:00 PM
2,904.0,34.92,11,SWISS,5:00-11:00 AM
2,1264.0,27.0,11,Other Airlines,5:00-11:00 AM
2,828.0,26.83,11,Air France,11:00-5:00 PM
3,503.0,56.5,11,Other Airlines,5:00-11:00 PM
2,828.0,27.75,11,Air France,11:00-5:00 PM
2,904.0,25.58,11,SWISS,5:00-11:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
2,828.0,34.58,11,Air France,5:00-11:00 AM
2,912.0,26.83,11,Other Airlines,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,828.0,34.58,11,Air France,5:00-11:00 AM
2,983.0,25.75,11,SWISS,5:00-11:00 PM
2,828.0,35.5,11,Air France,5:00-11:00 AM
2,828.0,35.5,11,Air France,5:00-11:00 AM
2,816.0,37.42,11,British Airways,5:00-11:00 PM
2,904.0,30.92,11,SWISS,11:00-5:00 PM
2,904.0,25.58,11,SWISS,5:00-11:00 PM
2,828.0,26.83,11,Air France,11:00-5:00 PM
2,828.0,27.75,11,Air France,11:00-5:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
2,1013.0,25.5,11,Other Airlines,5:00-11:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
2,1013.0,25.5,11,Other Airlines,5:00-11:00 AM
2,1013.0,25.5,11,Other Airlines,5:00-11:00 AM
2,853.0,30.5,11,Turkish Airlines,11:00-5:00 PM
2,1081.0,25.42,11,Finnair,5:00-11:00 PM
2,1040.0,26.0,11,British Airways,5:00-11:00 PM
2,1084.0,25.83,11,Finnair,5:00-11:00 PM
2,1084.0,25.0,11,Etihad Airways,5:00-11:00 AM
2,921.0,25.58,11,SWISS,5:00-11:00 PM
2,828.0,26.83,11,Air France,11:00-5:00 PM
1,1155.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1155.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,1040.0,26.0,11,British Airways,5:00-11:00 PM
2,1068.0,26.5,11,British Airways,5:00-11:00 PM
2,1081.0,26.08,11,KLM,5:00-11:00 PM
3,1004.0,26.75,11,KLM,5:00-11:00 PM
3,1003.0,27.0,11,KLM,5:00-11:00 PM
2,1081.0,27.0,11,KLM,5:00-11:00 PM
2,1070.0,28.42,11,British Airways,11:00-5:00 PM
2,1070.0,28.42,11,British Airways,11:00-5:00 PM
