Date,Stops,Price,Duration,Departure-Time,Airline
2024-11-23,1,1177.0,23.17,20:50,Qantas Airways
2024-11-23,2,983.0,25.75,18:40,SWISS
2024-11-23,1,1229.0,22.33,13:10,Emirates
2024-11-23,1,1229.0,23.17,20:50,Emirates
2024-11-23,2,840.0,34.58,08:55,Air France
2024-11-23,2,1027.0,26.08,17:50,British Airways
2024-11-23,2,904.0,31.33,12:55,SWISS
2024-11-23,2,840.0,34.58,08:55,Air France
2024-11-23,2,840.0,35.5,08:55,Air France
2024-11-24,2,1303.0,27.0,07:55,Other Airlines
2024-11-24,2,579.0,33.5,13:35,Other Airlines
2024-11-24,3,558.0,44.25,13:35,Other Airlines
2024-11-24,2,828.0,26.83,16:40,Air France
2024-11-24,2,650.0,30.25,16:50,Turkish Airlines
2024-11-24,2,828.0,27.75,16:40,Air France
2024-11-24,1,1146.0,22.33,13:10,Qantas Airways
2024-11-24,2,626.0,33.67,13:35,Other Airlines
2024-11-24,1,1146.0,22.33,13:10,Emirates
2024-11-24,2,843.0,30.5,16:50,Turkish Airlines
2024-11-24,1,1146.0,23.17,20:50,Qantas Airways
2024-11-24,1,1146.0,23.17,20:50,Emirates
2024-11-24,2,848.0,34.58,08:55,Air France
2024-11-24,2,843.0,32.67,14:40,Turkish Airlines
2024-11-24,2,1040.0,25.42,18:30,British Airways
2024-11-24,2,1023.0,27.17,17:20,KLM
2024-11-24,2,904.0,34.92,09:20,SWISS
2024-11-25,2,1264.0,27.0,07:55,Other Airlines
2024-11-25,2,828.0,26.83,16:40,Air France
2024-11-25,3,503.0,56.5,19:55,Other Airlines
2024-11-25,2,828.0,27.75,16:40,Air France
2024-11-25,2,904.0,25.58,18:40,SWISS
2024-11-25,1,1146.0,22.33,13:10,Qantas Airways
2024-11-25,1,1146.0,22.33,13:10,Emirates
2024-11-25,2,828.0,34.58,08:55,Air France
2024-11-25,2,912.0,26.83,17:25,Other Airlines
2024-11-25,1,1146.0,23.17,20:50,Emirates
2024-11-25,1,1146.0,23.17,20:50,Qantas Airways
2024-11-25,2,828.0,34.58,08:55,Air France
2024-11-25,2,983.0,25.75,18:40,SWISS
2024-11-25,2,828.0,35.5,08:55,Air France
2024-11-25,2,828.0,35.5,08:55,Air France
2024-11-25,2,816.0,37.42,20:10,British Airways
2024-11-25,2,904.0,30.92,13:20,SWISS
2024-11-26,2,904.0,25.58,18:40,SWISS
2024-11-26,2,828.0,26.83,16:40,Air France
